en	ha
Where are the rocks?##sheep,sheep,sheep,sheep,sheep	A ina dutsinan suke?
On the right.##fire hydrant	A dama.
How many dogs are in the picture?##cat,cat,cat,cat	Nawane adadin karnuka a hoton?
How many tennis players are there?##person,person,person,person,person,person,person,person,person,person	sunawane 'yan wasan kwallon tanis?
What color is the man's sandals?##person,tv,person,cup,remote,remote,remote,couch,suitcase,bottle	Meye launin sandal din mutumin?
On the ground.##bench,potted plant	Akan ƙasa.
How many flower arrangements can you see?##vase,dining table,vase,potted plant,potted plant,vase,person,vase	Nawa ne adadin gyaran furanni da ka iya gani?
Tile.##sink	Tayal.
Cloudy.##car,person,traffic light,traffic light,person,fire hydrant,traffic light,traffic light,traffic light,traffic light	Hadari.
What color is the toilet?##person,toilet,remote	Mene launin matsuguni?
Giraffes.##giraffe,bird,bird,bird	Rakumin dawa.
Green.##cat,car,car,person,person	Koriya.
Who is sitting on the bench?##bench,person,person,person,person,handbag,person,person,handbag	Wa ye yake zaune akan bencin?
Trees.##person,person,person,person,train,handbag,tie,person,handbag	Bishiyu.
Purple.##banana,donut,hot dog	Shunayya.
Umbrellas.##umbrella,umbrella,person,umbrella,person,umbrella,person,person,person,person	lema.
How many boats are seen?##boat,boat,kite,person,person	Nawane adadin jiragen ruwa da aka gani?
Shingled.##person,person,person,person,person,person,person,car,person,person	Shingled.
Kite.##kite,person,kite,person,person,person,person	Jirgin leda.
Green.##giraffe,giraffe	Kore.
What is the color of the camera?##person,person,person,person,person,car,train,traffic light,traffic light,traffic light	Mene launin kamera?
Tan.##horse	Ruwan ƙasa.
What is on the man's face?##apple,person,knife,apple,chair	Mene a fuskar mutumin?
To type.##chair,chair,keyboard,toilet,chair	Don rubutu.
How many sandwiches are in the photo?##sandwich	Sandwic bawa ne a hoton?
What pattern is on the zebra?##zebra,zebra,zebra,zebra,zebra,cow,zebra	Wani irin zane ne a jikin jakin dawan?
Where are the red horns?##horse,person,potted plant,person,truck	Ina jajayen ƙahohunan?
Sheep.##carrot,sheep,carrot,carrot,cow	Rago.
What is on television?##tv,chair,person,laptop,book,bed,book,book,book,person	Mene a ka saka talabijin?
What is the man doing?##person,motorcycle	Me mutumin ke yi?
What is the score?##person,person,person,person,person,person,person,person,person,person	Nawa aka ci?
Flying kites.##kite,kite,person,person	Tasar da jirgin leda.
A fireman.##person,person,person,person,person,person,person,person,skis,person	Mai kashe gobara.
What pattern is on the bathmat?##toilet,bottle,bottle,sink,bottle,bottle	Wani zane ne a jikin a jkin bathmat?
Green.##person,stop sign,person,handbag,handbag	Koriya.
Inside of a store.##person,refrigerator,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle	Cikin shago.
One.##bowl,cup,sink,sink	Ɗaya.
What is the laptop on?##laptop,keyboard	Akan me kwamfutar tafi-da-gidankan take?
Hiding.##bird	ɓuya.
Red.##person,person,bicycle,person,person,person,clock,person,person,motorcycle	Ja
A wooden table.##bowl,book,book,book,book,book,book,book,book,book	Teburin katako.
Where is tree?##person,person,tie,chair,potted plant,chair	Ina bishiya?
Black.##person,person,hot dog,hot dog	Baki.
What color is the clock?##clock,clock	Wani launi ne da agogon?
When was this taken?##clock	Yaushe aka ɗauka hoton?
What is the board made of?##person,cake,microwave,bowl,bottle,knife,knife,spoon,book,oven	Da me aka haɗa allon?
When was the picture taken?##person,person,person,suitcase,suitcase,person,traffic light,person,surfboard,person	Yaushe aka ɗauki hoton?
What is the clock tower's facade made from?##clock,traffic light,person,person,person,person	Daga me akayi ginin gaban hasumiyar agogon?
