2400153	Where are the rocks?##sheep,sheep,sheep,sheep,sheep	A ina dutsinan suke?
2412597	On the right.##fire hydrant	A dama.
2340094	How many dogs are in the picture?##cat,cat,cat,cat	Nawane adadin karnuka a hoton?
2356034	How many tennis players are there?##person,person,person,person,person,person,person,person,person,person	sunawane 'yan wasan kwallon tanis?
2332663	What color is the man's sandals?##person,tv,person,cup,remote,remote,remote,couch,suitcase,bottle	Meye launin sandal din mutumin?
2394080	On the ground.##bench,potted plant	Akan ƙasa.
2352961	How many flower arrangements can you see?##vase,dining table,vase,potted plant,potted plant,vase,person,vase	Nawa ne adadin gyaran furanni da ka iya gani?
2392874	Tile.##sink	Tayal.
2397531	Cloudy.##car,person,traffic light,traffic light,person,fire hydrant,traffic light,traffic light,traffic light,traffic light	Hadari.
2344252	What color is the toilet?##person,toilet,remote	Mene launin matsuguni?
2351804	Giraffes.##giraffe,bird,bird,bird	Rakumin dawa.
2391973	Green.##cat,car,car,person,person	Koriya.
2358468	Who is sitting on the bench?##bench,person,person,person,person,handbag,person,person,handbag	Wa ye yake zaune akan bencin?
2404191	Trees.##person,person,person,person,train,handbag,tie,person,handbag	Bishiyu.
2375873	Purple.##banana,donut,hot dog	Shunayya.
2343402	Umbrellas.##umbrella,umbrella,person,umbrella,person,umbrella,person,person,person,person	lema.
2328500	How many boats are seen?##boat,boat,kite,person,person	Nawane adadin jiragen ruwa da aka gani?
2374728	Shingled.##person,person,person,person,person,person,person,car,person,person	Shingled.
2365296	Kite.##kite,person,kite,person,person,person,person	Jirgin leda.
2401070	Green.##giraffe,giraffe	Kore.
2348234	What is the color of the camera?##person,person,person,person,person,car,train,traffic light,traffic light,traffic light	Mene launin kamera?
2337940	Tan.##horse	Ruwan ƙasa.
2332812	What is on the man's face?##apple,person,knife,apple,chair	Mene a fuskar mutumin?
2342072	To type.##chair,chair,keyboard,toilet,chair	Don rubutu.
2405971	How many sandwiches are in the photo?##sandwich	Sandwic bawa ne a hoton?
2360536	What pattern is on the zebra?##zebra,zebra,zebra,zebra,zebra,cow,zebra	Wani irin zane ne a jikin jakin dawan?
2359586	Where are the red horns?##horse,person,potted plant,person,truck	Ina jajayen ƙahohunan?
2321131	Sheep.##carrot,sheep,carrot,carrot,cow	Rago.
2384900	What is on television?##tv,chair,person,laptop,book,bed,book,book,book,person	Mene a ka saka talabijin?
2411997	What is the man doing?##person,motorcycle	Me mutumin ke yi?
2356034	What is the score?##person,person,person,person,person,person,person,person,person,person	Nawa aka ci?
2345291	Flying kites.##kite,kite,person,person	Tasar da jirgin leda.
2322887	A fireman.##person,person,person,person,person,person,person,person,skis,person	Mai kashe gobara.
2360241	What pattern is on the bathmat?##toilet,bottle,bottle,sink,bottle,bottle	Wani zane ne a jikin a jkin bathmat?
2315483	Green.##person,stop sign,person,handbag,handbag	Koriya.
2384780	Inside of a store.##person,refrigerator,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle	Cikin shago.
2341095	One.##bowl,cup,sink,sink	Ɗaya.
2415913	What is the laptop on?##laptop,keyboard	Akan me kwamfutar tafi-da-gidankan take?
2408299	Hiding.##bird	ɓuya.
2363154	Red.##person,person,bicycle,person,person,person,clock,person,person,motorcycle	Ja
2365284	A wooden table.##bowl,book,book,book,book,book,book,book,book,book	Teburin katako.
2406916	Where is tree?##person,person,tie,chair,potted plant,chair	Ina bishiya?
2335245	Black.##person,person,hot dog,hot dog	Baki.
2347163	What color is the clock?##clock,clock	Wani launi ne da agogon?
2325181	When was this taken?##clock	Yaushe aka ɗauka hoton?
2317878	What is the board made of?##person,cake,microwave,bowl,bottle,knife,knife,spoon,book,oven	Da me aka haɗa allon?
2329138	When was the picture taken?##person,person,person,suitcase,suitcase,person,traffic light,person,surfboard,person	Yaushe aka ɗauki hoton?
2344851	What is the clock tower's facade made from?##clock,traffic light,person,person,person,person	Daga me akayi ginin gaban hasumiyar agogon?
2341119	Day time.##bed,bed,cup,chair,bottle,chair,bottle,cup,cup,bottle	Da rana.
