image_id,caption
2409524.jpg,two people on skis on a snowy slope 
2398973.jpg,a person on a skateboard on the street 
2317022.jpg,a plate of sandwiches and french fries on a table 
2343754.jpg,a plate of food with a sandwich and a salad 
2394998.jpg,a horse drawn carriage with a man on it 
2325381.jpg,a man and woman are standing in front of a door 
2392225.jpg,a woman sitting on a tennis court holding a racquet 
2372746.jpg,a flock of birds are standing on a frozen lake 
2352274.jpg,a white vase filled with yellow flowers on a table 
2347936.jpg,a train is stopped at a train station 
2320569.jpg,a red fire hydrant in a field of tall grass 
2385895.jpg,a toilet with a white lid and a white toilet paper dispenser 
2318622.jpg,a fire hydrant is in the middle of a field 
2364259.jpg,a table topped with flowers and a vase filled with red roses 
2362273.jpg,a street scene with a building and a street sign 
2354438.jpg,a woman wearing a pink dress and holding an umbrella 
2394433.jpg,a stuffed animal with a stuffed bear on it's head 
2362916.jpg,a bridge over a river with a train on it 
2315576.jpg,a woman in a red shirt is playing a guitar 
2410536.jpg,a young boy pitching a baseball on a field 
2357671.jpg,a bus parked in front of a bus stop 
2404542.jpg,a large group of people on skis in the snow 
2359667.jpg,a church with a clock tower and a statue of a horse 
2338955.jpg,a dog is sitting on the ground with a tennis racket 
2387888.jpg,a brown cow standing in a fence with a chain around its neck 
2402216.jpg,a man standing on a street holding a skateboard 
2355634.jpg,a beach with umbrellas and chairs and people on the beach 
2417947.jpg,a person on skis in the snow 
2350981.jpg,a motorcycle parked on the side of a road 
2364470.jpg,a man riding a wave on top of a surfboard 
2323563.jpg,"a sign that says ""no parking"" on the side of a road "
2367637.jpg,a man and woman cutting a cake together 
2412237.jpg,a kite is flying in the air above a tree 
2363220.jpg,three young boys sitting on a brick wall with skateboards 
2370223.jpg,giraffes are standing in a fenced in area 
2345579.jpg,a road sign on a road near a highway 
2354543.jpg,a woman holding a tennis racquet on a tennis court 
2386573.jpg,a bicycle parked on a bench in front of a building 
2409637.jpg,a bed with a canopy and a large bedspread 
2327284.jpg,a train on a track near a park 
2402439.jpg,a zebra standing next to a baby zebra 
2354025.jpg,people sitting at a table with laptops 
2351161.jpg,a lake with a bunch of boats floating in it 
2317211.jpg,a young man is laying on a table with a hat on 
2413875.jpg,a car is parked on the side of the road 
2413533.jpg,a woman cutting a cake with a knife 
2330957.jpg,a mirror with a picture of a cat on it 
2359155.jpg,a clock tower with a clock on top of it 
2397015.jpg,"a living room with a couch, coffee table and a television "
2341454.jpg,a horse grazing in a field with a horse 
2357287.jpg,a woman walking down a street with a stop sign 
2373491.jpg,a man on a skateboard doing a trick 
2343625.jpg,a dog laying in a tub with a bunch of stuff in it 
2327344.jpg,a woman in a hospital bed with a man 
2377986.jpg,a train on a train track near a building 
2358822.jpg,a polar bear standing in the snow with a baby polar bear 
2339084.jpg,a herd of sheep standing next to each other 
2332549.jpg,a man sitting on a boat in front of a house 
2380929.jpg,a dog is sitting in the back of a truck 
2366352.jpg,a man riding a motorcycle down a street next to a bunch of parked motorcycles 
2396894.jpg,a man on a skateboard doing a trick 
2417663.jpg,a snowboarder is doing a trick on a ramp 
2399484.jpg,a table with a plate of food and glasses of wine 
2315896.jpg,a man holding a wine glass in front of a group of people 
2326401.jpg,a little girl is playing soccer with a soccer ball 
2339275.jpg,a woman walking down a street with a skateboard 
2392299.jpg,a man riding a wave on top of a surfboard 
2383162.jpg,a wooden bench sitting in a park 
2385645.jpg,a car is driving down a street next to a stop sign 
2404803.jpg,two people playing tennis on a grass court 
2360864.jpg,a man laying on the ground with a bear 
2321916.jpg,two buses are parked in front of a building 
2327770.jpg,a man is skiing down a hill with a group of people watching 
2397149.jpg,a man sitting in the snow with a dog 
2388377.jpg,a living room with a tv and a chair 
2403407.jpg,a man riding a wave on top of a surfboard 
2405507.jpg,a doll house with a doll in a dress and a doll in a dress 
2381562.jpg,a large bunch of bananas hanging from a tree 
2367943.jpg,a man riding a skateboard down a street 
2338678.jpg,a bowl of vegetables and a fork on a table 
2397370.jpg,a street sign on a pole in front of a building 
2364878.jpg,a man in a white shirt and black shorts playing tennis 
2408181.jpg,a pile of teddy bears sitting on top of a table 
2391897.jpg,a clock tower with a clock on it's side 
2340926.jpg,a small child standing on a rug in a living room 
2377167.jpg,"a kitchen with a stove, oven, microwave and a refrigerator "
2390532.jpg,a giraffe standing next to a tree 
2396889.jpg,a woman in a kitchen preparing food in a kitchen 
2338701.jpg,a building with a clock on the front of it 
2320992.jpg,a bath tub sitting next to a toilet and a tub 
2334825.jpg,a motorcycle is parked on the side of the road 
2341423.jpg,"a living room with a couch, chair, and a tv "
2408968.jpg,a man wearing a hat and a hat hat 
2364900.jpg,a man sitting at a desk with a laptop 
2407465.jpg,a man holding a wii remote in his hand 
2412920.jpg,"a bedroom with a bed, desk, and lamp "
2397964.jpg,a red and white motorcycle parked in a parking lot 
2372367.jpg,a man on skis standing on a rocky slope 
2392754.jpg,a man standing in front of a display of fruits 
2413827.jpg,"a sandwich with lettuce, tomato, and cheese on a wooden table "
2325453.jpg,a man and a woman riding an elephant on a trail 
2366710.jpg,"a bedroom with a bed, desk, and a dresser "
2405609.jpg,a woman holding a tennis racquet on a tennis court 
2329138.jpg,a man walking down the street with a suitcase 
2351146.jpg,a train on a track with trees 
2339047.jpg,cows grazing in a grassy field 
2381186.jpg,a train is going down the tracks near a city 
2403074.jpg,a man walking a zebra across a street 
2336546.jpg,a man and woman standing next to a wooden barrel 
2361393.jpg,a sandwich and a bottle of milk on a table 
2401998.jpg,a train traveling down tracks next to a grassy field 
2411706.jpg,a man and a woman riding a motorcycle with a child on the back 
2366634.jpg,a man is petting a sheep on a sidewalk 
2410979.jpg,a baseball player standing on a field with a glove 
2345959.jpg,a giraffe eating a piece of fruit from a tree 
2337938.jpg,a baseball player swinging a bat at a ball 
2320297.jpg,a skier is in the air on a snowy slope 
2369370.jpg,a boat is docked at the pier 
2338098.jpg,a cat sitting on a keyboard next to a computer mouse 
2358012.jpg,a person riding a skateboard down a street 
2389304.jpg,a clock on a pole in front of a tree 
2393825.jpg,a bridge over a river with a train passing by 
2403711.jpg,a bed with a blanket and a bedspread 
2410943.jpg,a woman in a dress with a red hat 
2374462.jpg,a large church with a large clock on the side 
2390724.jpg,a plate of oranges and a piece of bread 
2325284.jpg,a person walking on a platform with an umbrella 
2376006.jpg,a cross country skier is going down a hill 
2334437.jpg,a large jetliner sitting on top of an airport tarmac 
2371328.jpg,a little girl is playing soccer on the grass 
2407261.jpg,a clock tower in the middle of a city 
2336087.jpg,a man sitting on a couch with a laptop 
2364420.jpg,a bed with a white blanket and a lamp 
2404915.jpg,a white sink sitting under a window in a bathroom 
2325888.jpg,a laptop computer sitting on top of a table 
2416194.jpg,a fire hydrant with a chain link fence 
2342505.jpg,a seagull standing on a beach next to the water 
2365243.jpg,a double decker bus driving down a street 
2341121.jpg,a bathroom with a shower stall and a toilet 
2406870.jpg,two giraffes standing in a field with trees 
2375703.jpg,two children flying a kite in a field 
2380442.jpg,a train on a track near a forest 
2363675.jpg,a cat sitting on a couch in a window 
2363898.jpg,a helicopter is flying over a forest 
2315986.jpg,a man laying on a bed with a cat 
2369657.jpg,a large jetliner sitting on top of an airport tarmac 
2340314.jpg,a boat sitting on top of a sandy beach 
2396359.jpg,a plate of food with a toothbrush and a toothpaste 
2320336.jpg,a person with an umbrella 
2368297.jpg,a book shelf with books and a clock 
2402479.jpg,two men sitting on the floor playing a video game 
2357597.jpg,a person on a board in the water 
2375747.jpg,a bench in the middle of a grassy field 
2378549.jpg,a woman in a white dress playing tennis 
2399886.jpg,a plate of food on a table 
2331786.jpg,a woman wearing a hat and holding a hot dog 
2334504.jpg,a person is using a laptop computer on a desk 
2374279.jpg,a vase filled with flowers on a table 
2402050.jpg,a woman talking on a cell phone while riding a bike 
2344002.jpg,a person is holding a box of pizza 
2381352.jpg,a man in a field with a dog catching a frisbee 
2370728.jpg,a sink with a mirror and a plant 
2375272.jpg,a clock tower with a clock on it's side 
2342009.jpg,a man riding a horse down a street 
2358810.jpg,a cat laying on a desk next to a computer 
2383348.jpg,a cat is sitting on a laptop computer 
2383075.jpg,a man sitting on a red chair under an umbrella 
2388717.jpg,a clock tower with a clock on top 
2351203.jpg,a bird sitting on a bowl of fruit 
2316599.jpg,a plane flying over a river with a bridge 
2319701.jpg,a soccer team playing a game of soccer 
2399125.jpg,a black dog laying on a wooden bench 
2387662.jpg,a person standing on a snow covered slope 
2342563.jpg,a pizza sitting on top of a white tray 
2321131.jpg,a black and white sheep eating some carrots 
2401581.jpg,a clock on a wall in a hallway 
